INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222002069,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,0,2022-01-10 21:03:00,2022,1,Monday,21,,LINDEN ST,42.33404810144355,-71.04495531789293,"(42.33404810144355, -71.04495531789293)"
222012603,1831,,SICK ASSIST,B2, ,0,2022-02-21 13:08:00,2022,2,Monday,13,,"BLUE HILL AVE & WARREN ST
DORCHESTER  MA 02121
UNI",42.30952502096375,-71.08261803437945,"(42.30952502096375, -71.08261803437945)"
222017816,613,,LARCENY SHOPLIFTING,D4, ,0,2022-03-14 12:26:00,2022,3,Monday,12,,BOYLSTON ST,42.350959087945945,-71.07412780075079,"(42.350959087945945, -71.07412780075079)"
222024158,1102,,FRAUD - FALSE PRETENSE / SCHEME,D14, ,0,2022-03-30 12:00:00,2022,3,Wednesday,12,,BRAINERD RD,42.34705541544485,-71.13433557983217,"(42.34705541544485, -71.13433557983217)"
222006434,3112,,LANDLORD - TENANT,D14, ,0,2022-01-28 13:15:00,2022,1,Friday,13,,WARREN ST,42.34946443646394,-71.14270449055681,"(42.34946443646394, -71.14270449055681)"
222001046,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E13, ,0,2022-01-03 20:28:00,2022,1,Monday,20,,WASHINGTON ST,42.30971856767274,-71.10429431787648,"(42.30971856767274, -71.10429431787648)"
222021434,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,B2, ,0,2022-03-27 18:33:00,2022,3,Sunday,18,,EUSTIS ST,42.329003794523175,-71.07838213802086,"(42.329003794523175, -71.07838213802086)"
222005201,801,,ASSAULT - SIMPLE,A1, ,0,2022-01-23 18:24:00,2022,1,Sunday,18,,PARK PLZ,42.35176856085977,-71.06781157038074,"(42.35176856085977, -71.06781157038074)"
222019358,423,,ASSAULT - AGGRAVATED,D4,167,0,2022-03-19 18:30:00,2022,3,Saturday,18,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222003422,2647,,THREATS TO DO BODILY HARM,E5, ,0,2022-01-16 16:51:00,2022,1,Sunday,16,,WASHINGTON ST,42.28736978440963,-71.12714211300694,"(42.28736978440963, -71.12714211300694)"
222004832,2905,,VAL - VIOLATION OF AUTO LAW,A1, ,0,2022-01-18 14:20:00,2022,1,Tuesday,14,,LINCOLN ST,42.35043296884183,-71.05873157807835,"(42.35043296884183, -71.05873157807835)"
222020710,3114,,INVESTIGATE PROPERTY,B2, ,0,2022-03-25 00:47:00,2022,3,Friday,0,,HAMPDEN ST,42.33017174006093,-71.07489405148806,"(42.33017174006093, -71.07489405148806)"
222008683,801,,ASSAULT - SIMPLE,B3, ,0,2022-02-06 11:11:00,2022,2,Sunday,11,,LAURIAT ST,42.28845960995937,-71.0804618844283,"(42.28845960995937, -71.0804618844283)"
222023457,1107,,FRAUD - IMPERSONATION,D4, ,0,2022-04-04 12:19:00,2022,4,Monday,12,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222020551,1831,,SICK ASSIST,B2, ,0,2022-03-24 14:08:00,2022,3,Thursday,14,,DEARBORN ST,42.32909774824193,-71.07906694102346,"(42.32909774824193, -71.07906694102346)"
222015580,801,,ASSAULT - SIMPLE,A1, ,0,2022-03-05 12:06:00,2022,3,Saturday,12,,"NORTH ST & CONGRESS ST
BOSTON  MA 02109
UNITED STA",42.36028997620576,-71.05730994838906,"(42.36028997620576, -71.05730994838906)"
222014222,611,,LARCENY PICK-POCKET,E18,520,0,2022-02-27 11:08:00,2022,2,Sunday,11,,HYDE PARK AVE,42.25621592040216,-71.12401947329023,"(42.256215920402155, -71.12401947329023)"
222008718,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,2022-02-06 15:22:00,2022,2,Sunday,15,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222011733,3114,,INVESTIGATE PROPERTY,B2, ,0,2022-02-17 21:19:00,2022,2,Thursday,21,,FENWOOD RD,42.334682686796334,-71.10699046237603,"(42.334682686796334, -71.10699046237603)"
222002758,613,,LARCENY SHOPLIFTING,D4,143,0,2022-01-13 17:57:00,2022,1,Thursday,17,,BOYLSTON ST,42.348623815554966,-71.08277637086411,"(42.348623815554966, -71.08277637086411)"
222000446,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,2022-01-03 07:50:00,2022,1,Monday,7,,"NORTHAMPTON ST & HARRISON AVE
BOSTON  MA 02118
UNI",42.33441999668206,-71.07574995429614,"(42.33441999668206, -71.07574995429614)"
222007916,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,167,0,2022-02-03 11:00:00,2022,2,Thursday,11,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222023879,801,,ASSAULT - SIMPLE,B3,465,0,2022-04-04 13:00:00,2022,4,Monday,13,,BLUE HILL AVENUE,0.0,0.0,"(0, 0)"
222015528,3115,,INVESTIGATE PERSON,D14, ,0,2022-03-05 05:14:00,2022,3,Saturday,5,,LAKE ST,42.3467305035719,-71.16186432458923,"(42.3467305035719, -71.16186432458923)"
222022496,613,,LARCENY SHOPLIFTING,A1, ,0,2022-01-24 00:00:00,2022,1,Monday,0,,CAMBRIDGE ST,42.361097417653454,-71.06206081011582,"(42.361097417653454, -71.06206081011582)"
222004414,3115,,INVESTIGATE PERSON,A1, ,0,2022-01-20 18:09:00,2022,1,Thursday,18,,"BOYLSTON ST & TREMONT ST
BOSTON  MA 02116
UNITED S",42.35236802296309,-71.06454296970273,"(42.35236802296309, -71.06454296970273)"
222007086,3301,,VERBAL DISPUTE,B2,611,0,2022-01-31 13:21:00,2022,1,Monday,13,,MISSION PARK DR,42.334068846193226,-71.10748198238643,"(42.334068846193226, -71.10748198238643)"
222017667,1304,,PROPERTY - STOLEN THEN RECOVERED,D4, ,0,2022-03-13 19:05:00,2022,3,Sunday,19,,ALBANY ST,42.33693506824102,-71.06867001696202,"(42.33693506824102, -71.06867001696202)"
222021774,611,,LARCENY PICK-POCKET,D14, ,0,2022-03-28 22:09:00,2022,3,Monday,22,,COMMONWEALTH AVE,42.351705713874026,-71.11989955508469,"(42.351705713874026, -71.11989955508469)"
220055485,1831,,SICK ASSIST,E13,508,0,2022-02-07 20:44:00,2022,2,Monday,20,,SOUTHBOURNE ROAD,0.0,0.0,"(0, 0)"
222016348,1831,,SICK ASSIST,B2, ,0,2022-03-08 13:57:00,2022,3,Tuesday,13,,FENWOOD RD,42.33511654026261,-71.1076767367975,"(42.33511654026261, -71.1076767367975)"
222017522,3410,,TOWED MOTOR VEHICLE,C6, ,0,2022-03-12 23:27:00,2022,3,Saturday,23,,BOSTON ST,42.328949032239535,-71.057396630329,"(42.328949032239535, -71.057396630329)"
222008623,1402,,VANDALISM,A7, ,0,2022-02-06 01:58:00,2022,2,Sunday,1,,VALLAR RD,42.39269663200214,-71.00842413382442,"(42.39269663200214, -71.00842413382442)"
222023059,1402,,VANDALISM,E18, ,0,2022-03-27 23:10:00,2022,3,Sunday,23,,CUMMINS HWY,42.276453189405366,-71.11297971000707,"(42.276453189405366, -71.11297971000707)"
222002022,3801,,M/V ACCIDENT - OTHER,B3, ,0,2022-01-10 17:24:00,2022,1,Monday,17,,"BLUE HILL AVE & EVELYN ST
MATTAPAN  MA 02126
UNITE",42.28011100577194,-71.09272704185285,"(42.28011100577194, -71.09272704185285)"
222012909,1102,,FRAUD - FALSE PRETENSE / SCHEME,E5,691,0,2022-02-21 00:00:00,2022,2,Monday,0,,CENTRE ST,42.28709355259107,-71.14822128377165,"(42.28709355259107, -71.14822128377165)"
222008771,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,0,2022-02-06 17:20:00,2022,2,Sunday,17,,COLUMBIA RD,42.32008271171789,-71.06039438747581,"(42.32008271171789, -71.06039438747581)"
222007812,1402,,VANDALISM,A7, ,0,2022-02-02 21:40:00,2022,2,Wednesday,21,,PRINCETON ST,42.37996867549108,-71.02942113292846,"(42.37996867549108, -71.02942113292846)"
222017098,3115,,INVESTIGATE PERSON,A1, ,0,2022-03-11 11:49:00,2022,3,Friday,11,,ROCHE BROTHERS,0.0,0.0,"(0, 0)"
222016538,2670,,HARASSMENT/ CRIMINAL HARASSMENT,E5,720,0,2022-03-09 07:57:00,2022,3,Wednesday,7,,TEMPLE ST,42.27881656595645,-71.1608062342165,"(42.27881656595645, -71.1608062342165)"
222024676,3810,,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,D14,778,0,2022-04-08 16:52:00,2022,4,Friday,16,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
222001083,1831,,SICK ASSIST,B2, ,0,2022-01-06 00:31:00,2022,1,Thursday,0,,"BROOKLINE AVE & FENWAY
ROXBURY  MA 02215
UNITED ST",42.34274999756297,-71.10324496833881,"(42.34274999756297, -71.10324496833881)"
222000215,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11, ,0,2022-01-01 22:56:00,2022,1,Saturday,22,,COLUMBIA RD,42.31959298334654,-71.06260699634272,"(42.31959298334654, -71.06260699634272)"
222015162,3803,,M/V ACCIDENT - PERSONAL INJURY,B2, ,0,2022-03-03 21:00:00,2022,3,Thursday,21,,BLUE HILL AVE,42.31956878792708,-71.07776263706329,"(42.31956878792708, -71.07776263706329)"
222016029,1831,,SICK ASSIST,B2, ,0,2022-03-07 11:12:00,2022,3,Monday,11,,HUMBOLDT AVE,42.31153553480922,-71.09079222523481,"(42.31153553480922, -71.09079222523481)"
222005535,1831,,SICK ASSIST,D4, ,0,2022-01-25 01:08:00,2022,1,Tuesday,1,,COLUMBUS AVE,42.33604845466972,-71.08820784105974,"(42.33604845466972, -71.08820784105974)"
222004891,3114,,INVESTIGATE PROPERTY,A1, ,0,2022-01-22 13:09:00,2022,1,Saturday,13,,MYRTLE ST,42.35932634032012,-71.06615272141232,"(42.35932634032012, -71.06615272141232)"
222002430,3207,,PROPERTY - FOUND,B3, ,0,2022-01-12 16:47:00,2022,1,Wednesday,16,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
222016008,1001,,FORGERY / COUNTERFEITING,D14,774,0,2022-02-11 00:00:00,2022,2,Friday,0,,STRATHMORE RD,42.340252787839816,-71.15447535693615,"(42.340252787839816, -71.15447535693615)"
222002044,301,,ROBBERY,D14, ,0,2022-01-10 18:48:00,2022,1,Monday,18,,"ALLSTON ST & COMMONWEALTH AVE
BRIGHTON  MA 02135
U",42.34831797885881,-71.13779403157687,"(42.34831797885881, -71.13779403157687)"
222018776,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,691,0,2022-03-17 20:19:00,2022,3,Thursday,20,,CENTRE ST,42.28709355259107,-71.14822128377165,"(42.28709355259107, -71.14822128377165)"
222007846,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B2, ,0,2022-02-03 01:16:00,2022,2,Thursday,1,,BLUE HILL AVE,42.29912998238599,-71.0867206642121,"(42.299129982385985, -71.0867206642121)"
222004195,1402,,VANDALISM,C6, ,0,2022-01-19 19:50:00,2022,1,Wednesday,19,,"MELNEA CASS BLVD & MASSACHUSETTS AVE
ROXBURY  MA 0",42.332603976167086,-71.07202405807425,"(42.332603976167086, -71.07202405807425)"
222000264,3006,,SICK/INJURED/MEDICAL - PERSON,D14,801,0,2022-01-02 08:43:00,2022,1,Sunday,8,,FARRINGTON AVE,42.3544593889186,-71.13091268127926,"(42.3544593889186, -71.13091268127926)"
222013350,611,,LARCENY PICK-POCKET,C11,355,0,2022-02-24 11:30:00,2022,2,Thursday,11,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
222011168,1402,,VANDALISM,E13,574,0,2022-02-15 18:46:00,2022,2,Tuesday,18,,WASHINGTON STREET,0.0,0.0,"(0, 0)"
222010284,3114,,INVESTIGATE PROPERTY,B3,446,0,2022-01-09 00:00:00,2022,1,Sunday,0,,NORWELL ST,42.29631480826869,-71.07839028674198,"(42.29631480826869, -71.07839028674198)"
222008161,3801,,M/V ACCIDENT - OTHER,E5, ,0,2022-02-04 08:05:00,2022,2,Friday,8,,"LAGRANGE ST & SWAN ST
WEST ROXBURY  MA 02132
UNITE",42.27358998345496,-71.14429795662656,"(42.273589983454954, -71.14429795662656)"
222020314,3301,,VERBAL DISPUTE,B3,438,0,2022-03-23 12:45:00,2022,3,Wednesday,12,,COLONIAL AVE,42.29040923059065,-71.07693574277538,"(42.29040923059065, -71.07693574277538)"
222019873,801,,ASSAULT - SIMPLE,C6, ,0,2022-03-21 21:29:00,2022,3,Monday,21,,"OLD COLONY AVE & PREBLE ST
SOUTH BOSTON  MA 02127
",42.32920804109186,-71.0526060098937,"(42.32920804109186, -71.0526060098937)"
222008873,3115,,INVESTIGATE PERSON,E18,492,0,2022-02-07 10:25:00,2022,2,Monday,10,,METROPOLITAN AVE,42.26511444868381,-71.11805742964121,"(42.26511444868381, -71.11805742964121)"
222003230,3108,,FIRE REPORT,D14,785,0,2022-01-15 14:53:00,2022,1,Saturday,14,,CLAYMOSS RD,42.344750986897466,-71.146009721508,"(42.344750986897466, -71.146009721508)"
222011513,3301,,VERBAL DISPUTE,C11,361,0,2022-02-17 09:00:00,2022,2,Thursday,9,,NIXON ST,42.293812513412135,-71.06504850139866,"(42.293812513412135, -71.06504850139866)"
222018580,2905,,VAL - VIOLATION OF AUTO LAW,B3,409,0,2022-03-17 06:20:00,2022,3,Thursday,6,,RIVER,42.33335115598061,-71.11229054032931,"(42.33335115598061, -71.11229054032931)"
222003966,3502,,MISSING PERSON - LOCATED,D4,167,0,2022-01-18 15:00:00,2022,1,Tuesday,15,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222010077,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,167,0,2022-02-11 13:20:00,2022,2,Friday,13,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222001906,2914,,VAL - OPERATING W/O AUTHORIZATION LAWFUL,C11,355,0,2022-01-07 00:00:00,2022,1,Friday,0,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
222010781,613,,LARCENY SHOPLIFTING,D4, ,0,2022-02-14 11:28:00,2022,2,Monday,11,,HUNTINGTON AVE,42.347498990301546,-71.07925505600643,"(42.347498990301546, -71.07925505600643)"
222023712,1831,,SICK ASSIST,C11, ,0,2022-04-05 08:24:00,2022,4,Tuesday,8,,COLUMBIA RD,42.31069804319816,-71.07119068034005,"(42.31069804319816, -71.07119068034005)"
222014170,3410,,TOWED MOTOR VEHICLE,D14, ,0,2022-02-28 05:11:00,2022,2,Monday,5,,BIGELOW ST,42.35599528637723,-71.16516585838718,"(42.35599528637723, -71.16516585838718)"
222021430,801,,ASSAULT - SIMPLE,A1,75,0,2022-03-27 17:57:00,2022,3,Sunday,17,,CAUSEWAY ST,42.364975500233,-71.06204400040731,"(42.364975500233, -71.06204400040731)"
222011855,1001,,FORGERY / COUNTERFEITING,D14, ,0,2022-02-18 10:41:00,2022,2,Friday,10,,EATONIA ST,42.36050591668874,-71.12672466916692,"(42.360505916688744, -71.12672466916692)"
222002217,3006,,SICK/INJURED/MEDICAL - PERSON,A1, ,0,2022-01-11 16:25:00,2022,1,Tuesday,16,,CAUSEWAY ST,42.36537479642045,-71.06154161481645,"(42.365374796420454, -71.06154161481645)"
222017238,617,,LARCENY THEFT FROM BUILDING,B2, ,0,2022-03-10 15:39:00,2022,3,Thursday,15,,WORTHINGTON ST,42.33500229145477,-71.10169759990927,"(42.33500229145477, -71.10169759990927)"
222024577,3114,,INVESTIGATE PROPERTY,B3,472,0,2022-04-07 14:51:00,2022,4,Thursday,14,,WOODHAVEN ST,42.27282971598036,-71.09560402186915,"(42.27282971598036, -71.09560402186915)"
220026000,1831,,SICK ASSIST,A1,123,0,2022-01-19 10:05:00,2022,1,Wednesday,10,,WASHINGTON ST,42.34997256219053,-71.06348816860363,"(42.34997256219053, -71.06348816860363)"
222004608,3114,,INVESTIGATE PROPERTY,C11, ,0,2022-01-20 13:41:00,2022,1,Thursday,13,,HANCOCK ST,42.31043399746241,-71.06134009762133,"(42.31043399746241, -71.06134009762133)"
222005483,3115,,INVESTIGATE PERSON,B2,909,0,2022-01-24 19:59:00,2022,1,Monday,19,,WHITTIER ST,42.33380237768219,-71.08880867211724,"(42.33380237768219, -71.08880867211724)"
222021190,3301,,VERBAL DISPUTE,B2, ,0,2022-03-26 17:24:00,2022,3,Saturday,17,,DUNREATH ST,42.3230051439498,-71.08081695512372,"(42.3230051439498, -71.08081695512372)"
222016469,3111,,LICENSE PREMISE VIOLATION,C6,203,0,2022-03-08 22:17:00,2022,3,Tuesday,22,,SUMMER ST,42.346547702488806,-71.04284093220855,"(42.346547702488806, -71.04284093220855)"
222023817,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,520,0,2022-04-02 13:00:00,2022,4,Saturday,13,,HYDE PARK AVE,42.25621592040216,-71.12401947329023,"(42.256215920402155, -71.12401947329023)"
222000087,3115,,INVESTIGATE PERSON,E5, ,0,2022-01-01 04:00:00,2022,1,Saturday,4,,ROBERT ST,42.28798209756957,-71.13347031626277,"(42.28798209756957, -71.13347031626277)"
222018488,3115,,INVESTIGATE PERSON,C6, ,0,2022-03-16 18:36:00,2022,3,Wednesday,18,,SOUTHAMPTON ST,42.332108429494895,-71.07014394813551,"(42.332108429494895, -71.07014394813551)"
222014192,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,C6, ,0,2022-02-28 08:27:00,2022,2,Monday,8,,NEWMARKET SQ,42.33004787197021,-71.06665439807715,"(42.33004787197021, -71.06665439807715)"
222107076,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4, ,0,2022-03-11 10:45:00,2022,3,Friday,10,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.33349998017161,-71.07350999617319,"(42.33349998017161, -71.07350999617319)"
222010935,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B2, ,0,2022-02-14 21:40:00,2022,2,Monday,21,,275 CENTRE ST,0.0,0.0,"(0, 0)"
222010492,3115,,INVESTIGATE PERSON,D14, ,0,2022-02-13 00:04:00,2022,2,Sunday,0,,HARVARD AVE,42.3548654151182,-71.13259322456055,"(42.3548654151182, -71.13259322456055)"
222009707,3115,,INVESTIGATE PERSON,C6, ,0,2022-02-08 12:09:00,2022,2,Tuesday,12,,ATHENS ST,42.33700075979955,-71.04693380482496,"(42.33700075979955, -71.04693380482496)"
222011481,2616,,POSSESSION OF BURGLARIOUS TOOLS,C11, ,0,2022-02-17 02:40:00,2022,2,Thursday,2,,DORCHESTER AVE,42.29430844137291,-71.06188627807245,"(42.29430844137291, -71.06188627807245)"
222021547,3410,,TOWED MOTOR VEHICLE,B2, ,0,2022-03-28 09:32:00,2022,3,Monday,9,,HUMPHREYS ST,42.32094567663666,-71.06543923850563,"(42.32094567663666, -71.06543923850563)"
222009399,613,,LARCENY SHOPLIFTING,C11, ,0,2022-02-09 09:51:00,2022,2,Wednesday,9,,DORCHESTER AVE,42.27357720483551,-71.06770430263478,"(42.27357720483551, -71.06770430263478)"
222010339,616,,LARCENY THEFT OF BICYCLE,D14,778,0,2022-01-01 08:00:00,2022,1,Saturday,8,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
222009989,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C6, ,0,2022-02-11 07:30:00,2022,2,Friday,7,,"BOSTON ST & DORSET ST
DORCHESTER  MA 02125
UNITED ",42.32420999083077,-71.05979802358067,"(42.32420999083077, -71.05979802358067)"
222006048,3115,,INVESTIGATE PERSON,B2, ,0,2022-01-26 00:00:00,2022,1,Wednesday,0,,BURRELL ST,42.32265133052613,-71.07172492338583,"(42.32265133052613, -71.07172492338583)"
222004404,3115,,INVESTIGATE PERSON,C6,200,0,2022-01-16 19:13:00,2022,1,Sunday,19,,W BROADWAY,42.34128750439044,-71.05467932649397,"(42.341287504390436, -71.05467932649397)"
222004087,3207,,PROPERTY - FOUND,D14,778,0,2022-01-12 00:00:00,2022,1,Wednesday,0,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
222022686,3115,,INVESTIGATE PERSON,D4, ,0,2022-03-31 15:20:00,2022,3,Thursday,15,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222024408,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,603,0,2022-04-07 16:45:00,2022,4,Thursday,16,,SAINT ALPHONSUS ST,42.33231227390159,-71.10166876565141,"(42.33231227390159, -71.10166876565141)"
222011502,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,E13, ,0,2022-02-17 08:50:00,2022,2,Thursday,8,,"AMORY ST & WILLIAMS ST
JAMAICA PLAIN  MA 02130
UNI",42.30740102669946,-71.1090840262497,"(42.30740102669946, -71.1090840262497)"
222010810,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11, ,0,2022-02-14 13:03:00,2022,2,Monday,13,,"HOMES AVE & BOWDOIN ST
DORCHESTER  MA 02124
UNITED",42.30239599924847,-71.07158594018213,"(42.30239599924847, -71.07158594018213)"
222014750,3201,,PROPERTY - LOST/ MISSING,D4,167,0,2022-03-02 12:10:00,2022,3,Wednesday,12,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222015258,3006,,SICK/INJURED/MEDICAL - PERSON,E13, ,0,2022-03-04 10:33:00,2022,3,Friday,10,,COLUMBUS AVE,42.31506898049432,-71.09746579411993,"(42.315068980494324, -71.09746579411993)"
222004721,3114,,INVESTIGATE PROPERTY,B3,465,0,2022-01-21 18:00:00,2022,1,Friday,18,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
222008434,1102,,FRAUD - FALSE PRETENSE / SCHEME,E5,739,0,2022-02-04 18:36:00,2022,2,Friday,18,,ADDINGTON RD,42.28903745895949,-71.164771716148,"(42.28903745895949, -71.164771716148)"
220003859,613,,LARCENY SHOPLIFTING,D4,146,0,2022-01-17 12:10:00,2022,1,Monday,12,,HUNTINGTON AVE,42.34797239824585,-71.07849581587274,"(42.34797239824585, -71.07849581587274)"
222018526,1402,,VANDALISM,C6,200,0,2022-03-16 20:45:00,2022,3,Wednesday,20,,W BROADWAY,42.34128750439044,-71.05467932649397,"(42.341287504390436, -71.05467932649397)"
222011588,3018,,SICK/INJURED/MEDICAL - POLICE,C6, ,0,2022-02-17 15:24:00,2022,2,Thursday,15,,W BROADWAY,42.34128750439044,-71.05467932649397,"(42.341287504390436, -71.05467932649397)"
222006104,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,C11, ,0,2022-01-27 09:54:00,2022,1,Thursday,9,,DORCHESTER AVE,42.302542387716045,-71.0595669012164,"(42.302542387716045, -71.0595669012164)"
222019254,3115,,INVESTIGATE PERSON,D4,167,0,2022-03-19 16:50:00,2022,3,Saturday,16,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
222018785,1831,,SICK ASSIST,A7,16,0,2022-03-17 22:31:00,2022,3,Thursday,22,,CONDOR ST,42.382580017223006,-71.03184167433263,"(42.382580017223006, -71.03184167433263)"
